begin_date,end_date,duration,avg_tmin,std_tmin,min_tmin,avg_wind_speed,year
18/01/2023,21/01/2023,4,0.0,0.2,-0.2,0.7,2023
23/01/2023,27/01/2023,5,-1.1,1.2,-3.0,3.3,2023
06/03/2023,12/03/2023,7,-0.6,0.9,-2.0,3.6,2023
03/12/2023,13/12/2023,11,-3.3,2.7,-7.4,2.6,2023
19/02/2024,22/02/2024,4,3.5,0.9,2.6,3.1,2024
07/03/2024,09/03/2024,3,1.1,2.2,-0.9,2.9,2024
20/11/2024,29/11/2024,10,-1.0,4.7,-9.1,3.6,2024
02/12/2024,04/12/2024,3,2.9,0.5,2.5,3.5,2024
29/12/2024,31/12/2024,3,-1.8,3.1,-4.1,2.8,2024
01/01/2025,04/01/2025,4,-1.4,0.9,-2.3,2.3,2025
09/01/2025,11/01/2025,3,0.1,0.6,-0.2,3.9,2025
16/02/2025,20/02/2025,5,1.2,1.5,-1.4,3.9,2025
23/02/2025,27/02/2025,5,-2.9,2.8,-5.7,5.5,2025
01/12/2025,06/12/2025,6,0.1,1.1,-1.2,1.7,2025
08/12/2025,10/12/2025,3,0.1,1.3,-1.2,2.1,2025
10/01/2026,20/01/2026,11,-0.3,1.5,-2.1,3.6,2026
26/02/2026,28/02/2026,3,-0.1,0.6,-0.8,3.6,2026
05/03/2026,08/03/2026,4,0.9,0.9,-0.3,3.6,2026
17/03/2026,19/03/2026,3,0.9,0.8,0.2,3.2,2026
09/11/2026,11/11/2026,3,1.5,0.6,0.8,2.4,2026
01/01/2027,03/01/2027,3,-0.3,0.9,-1.4,3.0,2027
10/01/2027,22/01/2027,13,-1.1,1.3,-3.5,1.6,2027
03/12/2027,12/12/2027,10,-2.1,2.7,-6.3,2.5,2027
18/01/2028,21/01/2028,4,0.3,0.2,0.1,0.8,2028
23/01/2028,27/01/2028,5,-0.8,1.1,-2.7,3.3,2028
06/03/2028,12/03/2028,7,-0.3,0.9,-1.7,3.6,2028
03/12/2028,13/12/2028,11,-3.0,2.7,-7.1,2.6,2028
19/02/2029,22/02/2029,4,3.7,0.9,2.8,3.1,2029
07/03/2029,09/03/2029,3,1.4,2.2,-0.7,2.9,2029
20/11/2029,29/11/2029,10,-0.8,4.7,-8.8,3.6,2029
02/12/2029,04/12/2029,3,3.2,0.5,2.7,3.5,2029
29/12/2029,31/12/2029,3,-1.5,3.1,-3.8,2.8,2029
01/01/2030,04/01/2030,4,-1.2,0.9,-2.1,2.3,2030
09/01/2030,11/01/2030,3,0.4,0.6,0.0,3.9,2030
16/02/2030,20/02/2030,5,1.4,1.5,-1.1,3.9,2030
23/02/2030,27/02/2030,5,-2.7,2.8,-5.5,5.5,2030
01/12/2030,06/12/2030,6,0.3,1.1,-1.0,1.7,2030
08/12/2030,10/12/2030,3,0.3,1.3,-1.0,2.1,2030
10/01/2031,20/01/2031,11,-0.1,1.5,-1.9,3.6,2031
26/02/2031,28/02/2031,3,0.2,0.6,-0.5,3.6,2031
05/03/2031,08/03/2031,4,1.2,0.9,-0.1,3.6,2031
17/03/2031,19/03/2031,3,1.1,0.8,0.4,3.2,2031
09/11/2031,11/11/2031,3,1.8,0.6,1.0,2.4,2031
01/01/2032,03/01/2032,3,-0.1,0.9,-1.1,3.0,2032
10/01/2032,22/01/2032,13,-0.9,1.2,-3.2,1.6,2032
03/12/2032,12/12/2032,10,-1.8,2.7,-6.0,2.5,2032
18/01/2033,21/01/2033,4,0.6,0.2,0.4,0.7,2033
23/01/2033,27/01/2033,5,-0.5,1.1,-2.4,3.3,2033
06/03/2033,12/03/2033,7,-0.1,0.9,-1.5,3.6,2033
03/12/2033,13/12/2033,11,-2.8,2.7,-6.9,2.6,2033
19/02/2034,22/02/2034,4,4.0,0.9,3.1,3.2,2034
07/03/2034,09/03/2034,3,1.6,2.2,-0.4,2.9,2034
20/11/2034,29/11/2034,10,-0.4,4.7,-8.4,3.6,2034
02/12/2034,04/12/2034,3,3.4,0.5,3.0,3.5,2034
29/12/2034,31/12/2034,3,-1.3,3.1,-3.5,2.8,2034
01/01/2035,04/01/2035,4,-0.8,0.9,-1.7,2.3,2035
09/01/2035,11/01/2035,3,0.8,0.6,0.4,3.9,2035
16/02/2035,20/02/2035,5,1.6,1.4,-0.8,3.9,2035
23/02/2035,27/02/2035,5,-2.4,2.8,-5.1,5.5,2035
01/12/2035,06/12/2035,6,0.5,1.1,-0.7,1.7,2035
08/12/2035,10/12/2035,3,0.6,1.3,-0.7,2.1,2035
10/01/2036,20/01/2036,11,0.3,1.5,-1.5,3.6,2036
26/02/2036,29/02/2036,4,1.2,1.4,-0.1,4.4,2036
05/03/2036,08/03/2036,4,1.5,0.9,0.3,3.6,2036
17/03/2036,19/03/2036,3,1.5,0.8,0.8,3.2,2036
15/12/2036,20/12/2036,6,2.9,0.8,2.0,5.8,2036
01/01/2037,03/01/2037,3,0.3,0.9,-0.8,3.0,2037
10/01/2037,22/01/2037,13,-0.5,1.2,-2.8,1.6,2037
03/12/2037,12/12/2037,10,-1.5,2.7,-5.7,2.5,2037
18/01/2038,21/01/2038,4,0.8,0.2,0.7,0.8,2038
23/01/2038,27/01/2038,5,-0.2,1.1,-2.1,3.3,2038
06/03/2038,12/03/2038,7,0.3,0.9,-1.1,3.6,2038
03/12/2038,13/12/2038,11,-2.5,2.7,-6.5,2.6,2038
19/02/2039,22/02/2039,4,4.3,0.9,3.4,3.2,2039
07/03/2039,09/03/2039,3,2.0,2.2,0.0,2.9,2039
20/11/2039,29/11/2039,10,-0.1,4.6,-8.1,3.6,2039
02/12/2039,04/12/2039,3,3.7,0.5,3.3,3.5,2039
29/12/2039,31/12/2039,3,-0.9,3.1,-3.2,2.8,2039
01/01/2040,04/01/2040,4,-0.4,0.9,-1.3,2.3,2040
09/01/2040,11/01/2040,3,1.1,0.6,0.8,3.9,2040
16/02/2040,20/02/2040,5,2.0,1.4,-0.5,3.9,2040
23/02/2040,27/02/2040,5,-2.0,2.8,-4.7,5.5,2040
01/12/2040,06/12/2040,6,0.9,1.1,-0.4,1.7,2040
08/12/2040,10/12/2040,3,0.9,1.3,-0.4,2.2,2040
10/01/2041,20/01/2041,11,0.6,1.5,-1.1,3.6,2041
